"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"3203","2019-10-02 15:06:59-03","UFMG","BHCB","63142","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2554",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3204","2019-10-02 14:48:19-03","UFMG","BHCB","34","PreservedSpecimen","Plantae","Dicotyledon",NA,"Anacardiaceae","Lithraea","molleoides","Lithraea molleoides","(Vell.) Engl.",NA,NA,NA,NA,"Pinheiro-Sobrinho, JM","1957","11",NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","arbusto","auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3205","2019-10-02 15:04:45-03","UFMG","BHCB","65618","PreservedSpecimen","Plantae","Dicotyledon",NA,"Symplocaceae","Symplocos","trachycarpos","Symplocos trachycarpos","Brand",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"737",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3206","2019-10-02 15:04:45-03","UFMG","BHCB","65619","PreservedSpecimen","Plantae","Dicotyledon",NA,"Symplocaceae","Symplocos","trachycarpos","Symplocos trachycarpos","Brand",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"5191",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3207","2019-10-02 14:57:20-03","UFMG","BHCB","73608","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"8650",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3208","2019-10-02 15:07:33-03","UFMG","BHCB","9028","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","crispa","Gomesa crispa","(Lindl.) Klotzsch ex Rchb",NA,NA,NA,NA,"Paula, JA; et al.","1987","05","16","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Campo rupestre; herbáceo.","auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3209","2019-10-02 14:56:57-03","UFMG","BHCB","67948","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"6725",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3210","2019-10-02 14:53:53-03","UFMG","BHCB","66093","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Crotalaria","clausseni","Crotalaria clausseni","Benth.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"5640",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3211","2019-10-02 15:04:59-03","UFMG","BHCB","65290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","rotundifolia","Lippia rotundifolia","Cham.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"8106",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3212","2019-10-02 15:05:54-03","UFMG","BHCB","21405","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Anthurium","scandens","Anthurium scandens","Engl.",NA,NA,NA,NA,"Lombardi, JA; Tolêdo, FRN","1993","05","19","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
